"Sampling Amount","MaxDepth","Fault Rate"
"10","25","267.539709255678"
"20","25","97.8372898387924"
"30","25","88.4704494037883"
"40","25","79.993006566054"
"50","25","101.461942582403"
"60","25","91.3791119113562"
"70","25","73.2117165116549"
"80","25","67.1596320699148"
"90","25","59.5833021999323"
"100","25","57.8794803882367"
"110","25","12.8830681413082"
"120","25","13.5517789051102"
"130","25","12.2951564873256"
"140","25","14.0264291743155"
"150","25","12.7770934708272"
"160","25","13.2349298415138"
"170","25","12.1723417753076"
"180","25","12.8889107476767"
"190","25","11.3401646745008"
"200","25","12.1224475654872"
"210","25","11.4526707562684"
"220","25","12.6770124303327"
"230","25","12.3850468448673"
"240","25","12.4275926224539"
"250","25","11.2050311984782"
"260","25","12.6006624197488"
"270","25","12.1229961261103"
"280","25","12.4574762292533"
"290","25","11.4351972265433"
"300","25","12.4497749035377"
"310","25","11.4235425711639"
"320","25","12.8423548098707"
"330","25","11.1940610874395"
"340","25","12.6509674021059"
"350","25","11.9657532957535"
"360","25","12.3771114407479"
"370","25","11.6768499522283"
"380","25","12.8286437076704"
"390","25","12.0355501634022"
"400","25","12.8224327742913"
"410","25","12.4780523814969"
"420","25","12.8083520541207"
"430","25","12.5284504362809"
"440","25","13.1243847651515"
"450","25","12.3530037255575"
"460","25","13.0672832513871"
"470","25","12.0644221866692"
"480","25","13.0212463168303"
"490","25","12.2755309258886"
"500","25","12.5944746568311"
"510","25","12.5645509815585"
"520","25","12.7258740495962"
"530","25","12.8725525174827"
"540","25","12.8525512382078"
"550","25","12.664319385527"
"560","25","12.6464343200572"
"570","25","12.2471188335585"
"580","25","13.032029581465"
"590","25","12.3525218647175"
"600","25","13.2636070917418"
"610","25","12.5981339052986"
"620","25","13.2239467803038"
"630","25","12.0231896203966"
"640","25","12.5924613567335"
"650","25","11.775571148144"
"660","25","12.8807384146388"
"670","25","12.3071517300497"
"680","25","13.0678988414986"
"690","25","11.9404561664326"
"700","25","12.725625380535"
"710","25","12.1404662546206"
"720","25","12.8778230679303"
"730","25","12.192271952916"
"740","25","13.1325310731691"
"750","25","12.2277390938851"
"760","25","12.9785947761109"
"770","25","12.8643832057173"
"780","25","13.2806309232619"
"790","25","12.7637618365971"
"800","25","12.7565528765501"
"810","25","12.2137875267443"
"820","25","12.5777746176303"
"830","25","11.4001162201785"
"840","25","12.1451841237009"
"850","25","11.7455816431684"
"860","25","12.1301103907314"
"870","25","11.9358752706726"
"880","25","12.7478833800131"
"890","25","12.4602035450332"
"900","25","12.9439556646688"
"910","25","12.6685414329609"
"920","25","12.8438935016098"
"930","25","12.4279104658017"
"940","25","12.755954972922"
"950","25","12.3674943253389"
"960","25","13.3682404336461"
"970","25","12.7968801541881"
"980","25","13.4064696776483"
"990","25","12.5759547243596"
"1000","25","12.9592615365121"
"1010","25","12.8029969727307"
"1020","25","12.7513315216292"
"1030","25","12.2859280207977"
"1040","25","13.2484298696799"
"1050","25","12.8815915628789"
"1060","25","13.4080729223487"
"1070","25","13.264994059473"
"1080","25","13.1286005122696"
"1090","25","12.8322712017317"
"1100","25","12.9375224787965"
"1110","25","12.2550560455555"
"1120","25","13.0353477265525"
"1130","25","12.1091406021909"
"1140","25","13.0208763756582"
"1150","25","12.0314153333024"
"1160","25","13.0150670750394"
"1170","25","12.5607105622061"
"1180","25","12.513377729745"
"1190","25","11.9284599178722"
"1200","25","12.4626264366404"
"1210","25","11.9297447315298"
"1220","25","13.0670896286629"
"1230","25","12.1068522560429"
"1240","25","12.7686202771388"
"1250","25","12.2147186729053"
"1260","25","12.5064050203911"
"1270","25","12.4566681539214"
