"Sampling Amount","Fault Rate"
"1","61.2431720835094"
"2","34.4655443334891"
"3","41.8018947518179"
"4","34.2886194384555"
"5","14.0312613204626"
"6","13.7280590775309"
"7","12.6635790553137"
"8","12.8309019170676"
