"Sampling Amount","Fault Rate"
"1","6.8173056498105"
"2","4.16763514883863"
"3","3.65400398489252"
"4","3.98531066989193"
"5","3.95229480091763"
"6","6.12123101861421"
"7","3.99985058702602"
"8","3.89577331858782"
"9","4.12369025461436"
"10","3.45523481851483"
"11","3.97045793061154"
"12","4.01438825824783"
"13","2.44194193719197"
"14","2.3785616356319"
"15","2.26791196356023"
"16","2.2660769216718"
"17","3.02725338389456"
"18","2.99907531373647"
"19","1.19112909400244"
"20","1.18101970452046"
"21","1.18981385986225"
"22","1.23703878223171"
"23","1.17392615022649"
"24","1.50205985934397"
"25","1.48792433368908"
"26","1.09336116573761"
"27","1.07675000893676"
"28","0.976912883340049"
"29","0.984068696936912"
"30","0.955965356718062"
"31","0.974080274771235"
"32","1.6733541241313"
"33","1.66314055140024"
"34","1.68380951588542"
"35","1.68133017049317"
"36","1.67563555151572"
"37","1.68156729710032"
"38","1.69022965877532"
"39","1.70037024497764"
"40","1.73968903285798"
"41","1.72978274943766"
"42","0.946804279331283"
"43","0.943653623051165"
"44","0.91243677164682"
"45","0.84583021103743"
"46","0.843728231098066"
"47","0.845230643276584"
"48","0.84765048202657"
"49","0.847404639961408"
"50","0.822800063274627"
"51","0.828055791313046"
"52","0.827458435259739"
"53","0.829965358388902"
"54","0.828012879565214"
"55","0.8423938464003"
"56","0.843478372387328"
"57","0.843475064979078"
"58","0.837827571856146"
"59","0.844583629765953"
