"Sampling Amount","Fault Rate"
"1","6.2472552382662"
"2","5.55008972255406"
"3","4.601813629084"
"4","3.97776075687721"
"5","4.48961375689697"
"6","5.32658087556081"
"7","5.31753334823254"
"8","6.75890924523738"
"9","6.18155971401614"
"10","6.21316711291156"
