"Sampling Amount","Fault Rate"
"1","436.040882185894"
"2","86.5943753036831"
"3","61.9326011249015"
"4","68.6049118798818"
"5","78.241718351262"
"6","453.578082382794"
"7","421.765573499289"
"8","413.967822014662"
"9","266.058143679198"
"10","35.1017797226038"
"11","168.148833965733"
"12","80.4304995327705"
"13","30.9139011724127"
"14","50.5175036510247"
"15","25.315589046748"
"16","11.9616401491491"
"17","11.7324332264406"
"18","11.5638947675369"
"19","17.8834727761363"
"20","18.3355685737634"
"21","8.73895901693852"
"22","8.65969887284268"
"23","8.50180016883766"
"24","8.52490701611884"
"25","8.54995005570868"
"26","8.46397678591512"
"27","8.59037729133751"
"28","8.78302016844495"
"29","10.4082018475875"
"30","10.4952588772946"
"31","10.4760068533807"
"32","10.461652102856"
"33","10.4828932166888"
"34","10.6027189108585"
"35","10.722462321277"
"36","10.7093467129636"
"37","7.05268160563525"
"38","6.53847775272339"
"39","6.4567259705445"
"40","6.49963044792924"
"41","6.48881411953516"
"42","6.52773285056754"
"43","6.52315405321872"
"44","6.51961940001113"
"45","6.50647667562098"
"46","6.51825267413978"
"47","6.51257773272004"
"48","6.51560799433847"
"49","6.43167410278719"
"50","6.32654491951766"
"51","6.33668160823696"
"52","6.31453334814629"
"53","6.26689042315711"
"54","6.25051731848489"
"55","6.26570310133969"
"56","6.23763835055576"
