"V1","V2","V3"
"Sampling Amount","MaxDepth","Fault Rate"
"1","25","4.15009307856147"
"2","25","4.3654802069897"
"3","25","3.19812740982709"
"4","25","3.57180039176494"
"5","25","3.85132347063562"
"6","25","3.57242752579851"
"7","25","3.82370014983776"
"8","25","3.27512119362327"
"9","25","3.13295779433699"
"10","25","3.04669930934531"
"11","25","3.12651474520143"
"12","25","3.17613569357567"
"13","25","3.09766390300304"
"14","25","2.81918194126113"
"15","25","2.51338254452307"
"16","25","2.41718587780667"
"17","25","2.39085281415374"
"18","25","2.07474385942115"
"19","25","2.03324781891617"
"20","25","1.93357072350679"
"21","25","1.903076912516"
"22","25","1.79308481131866"
"23","25","1.74116483259541"
"24","25","1.54703705777972"
"25","25","1.89814985800223"
"26","25","1.74572129321213"
"27","25","1.68623162551696"
"28","25","1.71692366032801"
"29","25","1.63380932934381"
"30","25","1.6496128264797"
"31","25","1.59054446437886"
"32","25","1.53534700254634"
"33","25","1.54911814399561"
"34","25","1.4302505457587"
"35","25","1.59723437021139"
"36","25","1.52310292066309"
"37","25","1.50476267167683"
"38","25","1.43958858489156"
"39","25","1.48508154459244"
"40","25","1.54777708551103"
"41","25","1.52032585092905"
"42","25","1.4655436705039"
"43","25","1.40385276223183"
"44","25","1.35216302280854"
"45","25","1.51320319575482"
"46","25","1.51418420596114"
"47","25","1.49818882865163"
"48","25","1.49261212549081"
"49","25","1.53030518798989"
"50","25","1.47358706145864"
"51","25","1.43688309841398"
"52","25","1.45430230720692"
"53","25","1.48509854164277"
"54","25","1.4548708228529"
"55","25","1.59280055329121"
"56","25","1.63623713271623"
"57","25","1.5845617004439"
"58","25","1.55670843034661"
"59","25","1.50989403701239"
"60","25","1.58884883732614"
"61","25","1.5440965630338"
"62","25","1.50800847320886"
"63","25","1.48950934353573"
"64","25","1.50777629450292"
"65","25","1.6114712460114"
